"","Formula","modformula","In","Tl","La","Sr","Mn","Ni","Ru","Pd","Hf","Cs","Sc","Co","Si","Fe","Li","Cl","Yb","Te","N","Ti","Cd","Zr","Y","Ga","Cr","Pr","Tm","Br","Ca","Mg","Rb","Au","Nd","Ce","Ho","I","Ba","Se","Pb","Ge","Gd","Tb","Dy","Cu","Na","Sb","Bi","P","As","Sm","Zn","Al","Sn","Ag","Nb","Mo","V","S","K","Lu","O","Eu","Ta","B","Er","temperature(K)","seebeck_coefficient(μV/K)","electrical_conductivity(S/m)","thermal_conductivity(W/mK)","power_factor(W/mK2)","ZT","reference","sum_elements"
"10","BiSb(Se0.94Br0.06)3","BiSbSe2.82Br0.18","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.036","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.564","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.2","0.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","700.0","-203.0","16277.0","0.5","0.00067","0.94","10.1002/adfm.201806558","1.0"
"11","BiSb(Se0.94Br0.06)3","BiSbSe2.82Br0.18","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.036","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.564","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.2","0.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","800.0","-219.0","15479.0","0.44","0.00074","1.35","10.1002/adfm.201806558","1.0"
"12","BiSb(Se0.96Br0.04)3","BiSbSe2.88Br0.12","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.024","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.576","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.2","0.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","300.0","-100.0","21000.0","0.65","0.00021","0.12","10.1002/adfm.201806558","1.0"
"13","BiSb(Se0.96Br0.04)3","BiSbSe2.88Br0.12","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.024","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.576","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.2","0.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","400.0","-141.0","19000.0","0.59","0.00038","0.28","10.1002/adfm.201806558","1.0"
"14","BiSb(Se0.96Br0.04)3","BiSbSe2.88Br0.12","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.024","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.576","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.2","0.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","500.0","-169.0","16436.0","0.55","0.00047","0.43","10.1002/adfm.201806558","1.0"
"15","BiSb(Se0.96Br0.04)3","BiSbSe2.88Br0.12","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.024","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.576","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.2","0.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","600.0","-192.0","14630.0","0.53","0.00054","0.63","10.1002/adfm.201806558","1.0"
"16","BiSb(Se0.96Br0.04)3","BiSbSe2.88Br0.12","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.024","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.576","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.2","0.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","700.0","-213.0","13298.0","0.5","0.0006","0.84","10.1002/adfm.201806558","1.0"
"17","BiSb(Se0.96Br0.04)3","BiSbSe2.88Br0.12","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.024","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.576","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.2","0.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","800.0","-228.0","12500.0","0.45","0.00065","1.16","10.1002/adfm.201806558","1.0"
"18","BiSb(Se0.98Br0.02)3","BiSbSe2.94Br0.06","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.012000000000000002","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5880000000000001","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.20000000000000004","0.20000000000000004","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","300.0","-109.0","21915.0","0.68","0.00026","0.12","10.1002/adfm.201806558","1.0000000000000002"
"19","BiSb(Se0.98Br0.02)3","BiSbSe2.94Br0.06","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.012000000000000002","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5880000000000001","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.20000000000000004","0.20000000000000004","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","400.0","-147.0","19362.0","0.61","0.00042","0.27","10.1002/adfm.201806558","1.0000000000000002"
