loss,mse,val_loss,val_mse
0.4471104732987021,0.22460006410572805,0.27610894814640485,0.20677623862311953
0.3606043551243892,0.1949070799512928,0.2226516609491945,0.17843108842162048
0.29923150044720187,0.16870823776235386,0.18745627411368754,0.15389661136127653
0.2478523746031482,0.145613739583768,0.1589452168162988,0.13280469726543037
0.208835500640934,0.12573325522497397,0.13639001365827055,0.11490200419409745
0.1762960839028261,0.10871953826372316,0.11759803662089263,0.09970416904103999
0.15196635954234064,0.09439926432306264,0.1026184719030549,0.08684733793849037
0.13095580097161183,0.08232625614420898,0.08884585745075121,0.07604694776997274
0.11503562924205041,0.07222012840971655,0.07824696397700277,0.06702782821898558
0.10082766393414971,0.06379645632035068,0.06937946313295235,0.05946874707227662
