loss,mse,val_loss,val_mse
0.23134461121033814,0.21340691576064644,0.139295557141304,0.1380185753107071
0.06790067479645802,0.05882289836783025,0.02444772869348526,0.023401539089779058
0.02486554758970515,0.020628239186007088,0.01665066136047244,0.016333880927413703
0.01831442767249073,0.016821154266974683,0.015347804501652717,0.015252944299330313
0.01603287293465208,0.01565011187409193,0.015003239021946986,0.014958718605339528
0.015334558657417863,0.015245259542144457,0.01486161087329189,0.014844055908421675
0.014997699116435597,0.014967485520420439,0.014778960899760326,0.014774216152727605
0.014812900274360583,0.014803514073965914,0.014749561436474323,0.014744137972593307
0.014800190980846093,0.014768785284042863,0.014731237509598335,0.01472761733457446
0.0147190710403404,0.014711756740649373,0.014716446523865064,0.014712991813818613
0.01459943039847885,0.014589544693481619,0.014708285126835108,0.014705113135278225
0.014531660319890007,0.01452512165405235,0.014690642431378364,0.014689502958208322
0.014634112748554197,0.014611499431400986,0.014713375084102153,0.014709708467125892
0.014522324450377185,0.014516921627130044,0.014689241908490658,0.014684701431542635
0.01445268702267085,0.014447460558770572,0.014689833267281453,0.01468842833613356
0.014450366664046452,0.014447313717613786,0.014681087030718723,0.014679595331350962
0.014410283321798858,0.014407462811381635,0.014691379324843486,0.014689820911735296
0.014471780548219458,0.014468708927979914,0.014696292672306299,0.014695319688568513
0.01441053428166246,0.01440406800642357,0.014695078072448572,0.014672266567746799
0.014441592129484072,0.014392896413297976,0.014680564651886623,0.014676740858703852
0.014384061105991318,0.014380855067491026,0.014660472981631756,0.014658987832566103
0.01439021126035664,0.014387625972030022,0.014650607419510683,0.014649010294427474
0.01437882496580734,0.014377092776851634,0.014653168773899475,0.014639374862114588
0.014376608938988993,0.014355346734114623,0.014657251661022504,0.014655951752016942
0.014332801758674747,0.01433091232616265,0.014650876789043346,0.014649634590993325
0.01434144705249849,0.014339337733148013,0.014650780862818161,0.014650100407501062
0.014343540681431354,0.014341401117774894,0.014645620932181675,0.014636874198913574
0.01438432110284092,0.014374032656078116,0.014638703844199578,0.01463786925499638
0.014305699222042398,0.01430420416517783,0.014644194301217795,0.014643360581248998
0.01431959539936003,0.014317363658446377,0.014652563910931348,0.01465102353443702
0.014308176169140359,0.014306533742317204,0.015033975522965193,0.014638584014028311
0.014870794055888713,0.014283497565252296,0.0146351451985538,0.014634018670767546
0.014348511868235419,0.014347546536601702,0.014637737348675729,0.014637155582507451
0.014259096854603139,0.01425823173091068,0.014700187308092912,0.014650240416328113
0.014370765860618676,0.014313495007611938,0.014630960828314225,0.014630509726703166
0.014266667840213089,0.014265824922249985,0.014630767206350962,0.014630355903257926
0.014285275633683649,0.014284520844092308,0.014634545985609293,0.014633521468689044
0.014344861233701645,0.014343278324705059,0.014634658272067705,0.014634390113254387
0.014307443439265934,0.014306933997925056,0.014650642468283574,0.014650447604556879
0.014263570513891972,0.01426299934480655,0.014654090100278457,0.014653587931146224
0.014328700285089218,0.014327613928876185,0.014635911863297223,0.01463501291970412
0.01428877333400108,0.014287949618646654,0.014652865752577782,0.014652739278972149
0.014251224980768511,0.014250973823590803,0.014635825405518214,0.01463536856075128
0.014258530156655331,0.014256169932689203,0.014633859104166428,0.014632748812437058
0.014256004165163485,0.014251549152057555,0.01464239563792944,0.014642289591332276
0.014254437325427593,0.014254196712715645,0.014637317756811779,0.014637114200741052
