Unnamed: 0,Formula,modformula,In,Tl,La,Sr,Mn,Ni,Ru,Pd,Hf,Cs,Sc,Co,Si,Fe,Li,Cl,Yb,Te,N,Ti,Cd,Zr,Y,Ga,Cr,Pr,Tm,Br,Ca,Mg,Rb,Au,Nd,Ce,Ho,I,Ba,Se,Pb,Ge,Gd,Tb,Dy,Cu,Na,Sb,Bi,P,As,Sm,Zn,Al,Sn,Ag,Nb,Mo,V,S,K,Lu,O,Eu,Ta,B,Er,temperature(K),seebeck_coefficient(μV/K),electrical_conductivity(S/m),thermal_conductivity(W/mK),power_factor(W/mK2),ZT,reference,sum_elements
5124,Ag0.97Cr0.99Sb0.01Se2,Ag0.97Cr0.99Sb0.01Se2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249370277078086,0,0,0,0,0,0,0,0,0,0,0,0,0.503778337531486,0,0,0,0,0,0,0,0.0025188916876574,0,0,0,0,0,0,0,0.244332493702771,0,0,0,0,0,0,0,0,0,0,0,303,79,30323,0.59,,,,1
5125,Ag0.97Cr0.99Sb0.01Se2,Ag0.97Cr0.99Sb0.01Se2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249370277078086,0,0,0,0,0,0,0,0,0,0,0,0,0.503778337531486,0,0,0,0,0,0,0,0.0025188916876574,0,0,0,0,0,0,0,0.244332493702771,0,0,0,0,0,0,0,0,0,0,0,403,89,19184,0.52,,,,1
5126,Ag0.97Cr0.99Sb0.01Se2,Ag0.97Cr0.99Sb0.01Se2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249370277078086,0,0,0,0,0,0,0,0,0,0,0,0,0.503778337531486,0,0,0,0,0,0,0,0.0025188916876574,0,0,0,0,0,0,0,0.244332493702771,0,0,0,0,0,0,0,0,0,0,0,503,111,15016,0.51,,,,1
5127,Ag0.97Cr0.99Sb0.01Se2,Ag0.97Cr0.99Sb0.01Se2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249370277078086,0,0,0,0,0,0,0,0,0,0,0,0,0.503778337531486,0,0,0,0,0,0,0,0.0025188916876574,0,0,0,0,0,0,0,0.244332493702771,0,0,0,0,0,0,0,0,0,0,0,603,132,13545,0.47,,,,1
5128,Ag0.97Cr0.99Sb0.01Se2,Ag0.97Cr0.99Sb0.01Se2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249370277078086,0,0,0,0,0,0,0,0,0,0,0,0,0.503778337531486,0,0,0,0,0,0,0,0.0025188916876574,0,0,0,0,0,0,0,0.244332493702771,0,0,0,0,0,0,0,0,0,0,0,703,168,10240,0.46,,,,1
5129,Ag0.97Cr0.99Sb0.01Se2,Ag0.97Cr0.99Sb0.01Se2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249370277078086,0,0,0,0,0,0,0,0,0,0,0,0,0.503778337531486,0,0,0,0,0,0,0,0.0025188916876574,0,0,0,0,0,0,0,0.244332493702771,0,0,0,0,0,0,0,0,0,0,0,753,197,7556,0.46,,,,1
5130,Ag0.97Cr0.97Sb0.03Se2,Ag0.97Cr0.97Sb0.03Se2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244332493702771,0,0,0,0,0,0,0,0,0,0,0,0,0.503778337531486,0,0,0,0,0,0,0,0.0075566750629722,0,0,0,0,0,0,0,0.244332493702771,0,0,0,0,0,0,0,0,0,0,0,303,74,32414,0.54,,,,1
5131,Ag0.97Cr0.97Sb0.03Se2,Ag0.97Cr0.97Sb0.03Se2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244332493702771,0,0,0,0,0,0,0,0,0,0,0,0,0.503778337531486,0,0,0,0,0,0,0,0.0075566750629722,0,0,0,0,0,0,0,0.244332493702771,0,0,0,0,0,0,0,0,0,0,0,403,86,21461,0.47,,,,1
5132,Ag0.97Cr0.97Sb0.03Se2,Ag0.97Cr0.97Sb0.03Se2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244332493702771,0,0,0,0,0,0,0,0,0,0,0,0,0.503778337531486,0,0,0,0,0,0,0,0.0075566750629722,0,0,0,0,0,0,0,0.244332493702771,0,0,0,0,0,0,0,0,0,0,0,503,111,17091,0.45,,,,1
5133,Ag0.97Cr0.97Sb0.03Se2,Ag0.97Cr0.97Sb0.03Se2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244332493702771,0,0,0,0,0,0,0,0,0,0,0,0,0.503778337531486,0,0,0,0,0,0,0,0.0075566750629722,0,0,0,0,0,0,0,0.244332493702771,0,0,0,0,0,0,0,0,0,0,0,603,129,17153,0.42,,,,1
