formula,material_type
MoS2,p-type
MoS2,p-type
MoS2,p-type
MoS261,n-type
MoSe2,n-type
MoSe2,n-type
MoSe2,p-type
MoSe2,p-type
N2D,n-type
Na0.74Co0.9375Ni0.0625O2,n-type
Na0.74CoO1.9375,n-type
Na2CO3,p-type
Na2TlSb,n-type
Na2TlSb77,p-type
NaCo2O4,n-type
Nb1,p-type
NbCoSn,p-type
NbFeSb,n-type
NbFeSb,p-type
NbFeSb,p-type
NbIrTe4,n-type
NbIrTe4,p-type
Ni2,p-type
NiO,p-type
NiZrSn,n-type
NiZrSn,p-type
PDOS,p-type
PFU,n-type
PFU,p-type
PSe,n-type
PbI2,n-type
PbI2,n-type
PbI2,p-type
PbS,n-type
PbS,n-type
PbS,n-type
PbS,p-type
PbS,p-type
PbS0.6Se0.4,n-type
PbSb2O6,n-type
PbSe,n-type
PbSe,n-type
PbSe,n-type
PbSe,n-type
PbSe,p-type
PbSe,p-type
PbSe,p-type
PbSe,p-type
PbSeTe,n-type
PbTe,n-type
PbTe,n-type
PbTe,n-type
PbTe,n-type
PbTe,n-type
PbTe,n-type
PbTe,n-type
PbTe,n-type
PbTe,n-type
PbTe,n-type
PbTe,n-type
PbTe,n-type
PbTe,n-type
PbTe,n-type
PbTe,n-type
PbTe,n-type
PbTe,n-type
PbTe,p-type
PbTe,p-type
PbTe,p-type
PbTe,p-type
PbTe,p-type
PbTe,p-type
PbTe,p-type
PbTe,p-type
PbTe,p-type
PbTe,p-type
PbTe,p-type
PbTe,p-type
PbTe1,n-type
PbTe24,n-type
PbTe34,n-type
PbTe6,n-type
PbTe74,n-type
PbTe81,n-type
RhBi,p-type
S10,n-type
S10,n-type
S10,p-type
S10,p-type
S12,n-type
S12,n-type
S13,n-type
S13,p-type
S14,n-type
S14,p-type
S15,p-type
SOC,n-type
SOC,n-type
SOC,n-type
SOC,p-type
SOC,p-type
SOC,p-type
SOC56,n-type
Sb2,n-type
Sb2,n-type
Sb2Te3,n-type
Sb2Te3,n-type
Sb2Te3,n-type
Sb2Te3,n-type
Sb2Te3,n-type
Sb2Te3,p-type
Sb2Te3,p-type
Sb2Te3,p-type
Sb2Te310,p-type
Sb6,p-type
SbTeI,n-type
SbTeI,p-type
Si2SbBi,n-type
Si2SbBi,p-type
Si2WN4,n-type
Si2WN4,p-type
SiGe,n-type
SiGe,n-type
SiGe,p-type
SiO2,p-type
SiP2,n-type
SnCd,n-type
SnI2,n-type
SnS,n-type
SnS,n-type
SnS,n-type
SnS,n-type
SnS,p-type
SnS,p-type
SnS,p-type
SnS,p-type
SnSe,n-type
SnSe,n-type
SnSe,n-type
SnSe,n-type
SnSe,n-type
SnSe,n-type
SnSe,n-type
SnSe,n-type
SnSe,n-type
SnSe,n-type
SnSe,n-type
SnSe,n-type
SnSe,n-type
SnSe,n-type
SnSe,n-type
SnSe,n-type
SnSe,p-type
SnSe,p-type
SnSe,p-type
SnSe,p-type
SnSe,p-type
SnSe,p-type
SnSe,p-type
SnSe,p-type
SnSe,p-type
SnSe,p-type
SnSe,p-type
SnSe,p-type
SnSe.16,n-type
SnSe2,n-type
SnSe2,n-type
SnSe2,n-type
SnSe2,p-type
SnSe25,n-type
SnTe,n-type
SnTe,p-type
SnTe,p-type
SnTe,p-type
SnTe1,p-type
SnTe72,n-type
SrAg2GeSe4,n-type
SrAg2GeSe4,p-type
SrAg2SnSe4,p-type
SrGaSnH,n-type
SrTiO3,n-type
TEs,n-type
TOC,n-type
TaCoSn,n-type
TaCu3Te4,n-type
TaCu3Te4,p-type
TaIrTe4,n-type
TaIrTe4,p-type
TaTe4Ir,n-type
Te3,n-type
Te4,p-type
TePb,n-type
TePb,n-type
TePb,p-type
TePb,p-type
TePb,p-type
ThH10,p-type
Ti2,p-type
TiCo0.85Fe0.15Sb,n-type
TiCo0.85Fe0.15Sb,p-type
TiCoSb,p-type
TiFe0.5Ni0.5Sb,n-type
TiFeSb,p-type
TiO3,p-type
UCS,n-type
UCS,p-type
UTS,n-type
UTS,p-type
VFeSb,n-type
VFeSb,p-type
VHB,n-type
VMo2S4,p-type
WGe2N4,n-type
WGe2N4,p-type
WS2,n-type
WS2,p-type
WS2,p-type
WS2,p-type
WS2,p-type
WSe,n-type
WSe2,n-type
WSe2,n-type
WSe2,p-type
WSe2,p-type
WSe2,p-type
WSe217,p-type
WSe219,p-type
WSi2N4,n-type
WSi2N4,n-type
WSi2N4,p-type
WSi2N4,p-type
YbFe4Sb3,p-type
Zn2Sb2,p-type
Zn4Sb3,n-type
ZnO,n-type
ZnO,n-type
ZnO,p-type
ZnO,p-type
ZnT,p-type
Zr(GeN2)2,n-type
Zr(GeN2)2,p-type
Zr(SiN2)2,n-type
Zr(SiN2)2,p-type
Zr0.25Hf0.75Ni2Sn,n-type
Zr0.5Hf0.5Co0.3Ir0.7Sb0.99Sn0.1,p-type
Zr2InNi2Sb,n-type
Zr2InNi2Sb,p-type
ZrBi,n-type
ZrBiIr,p-type
ZrBiRh,n-type
ZrBiRh,p-type
ZrCoBi,p-type
ZrCoBi,p-type
ZrCoBi0.65Sb0.15Sn0.20,p-type
ZrGe2N4,n-type
ZrGe2N4,p-type
ZrIrBi,n-type
ZrIrBi,p-type
ZrNiPb,n-type
ZrNiPb,p-type
ZrNiSn,n-type
ZrNiSn,p-type
ZrO2,n-type
ZrO2,p-type
ZrRhBi,n-type
ZrRhBi,p-type
ZrSSe,n-type
ZrSi2N4,n-type
ZrSi2N4,p-type
ZrSn,n-type
ZrSn,p-type
ZrSn2N4,p-type
ZrTe5,n-type
ZrTe5,p-type
